2017-01-19 00:07:57.142991,0,off
2017-01-19 00:10:00.832978,0,off
2017-01-19 00:10:04.662724,0,off
2017-01-19 00:10:08.492992,0,off
2017-01-19 00:10:23.932953,0,off
2017-01-19 00:10:27.762697,0,off
2017-01-19 00:10:31.592954,0,off
2017-01-19 00:10:35.423014,0,off
2017-01-19 00:10:39.253026,0,off
2017-01-19 00:10:43.082956,0,off
2017-01-19 00:10:46.912939,0,off
2017-01-19 00:10:50.742976,0,off
2017-01-19 00:10:54.572992,1,off
2017-01-19 00:10:58.402919,1,off
2017-01-19 00:11:02.233019,0,off
2017-01-19 00:11:06.062935,0,off
2017-01-19 00:11:09.892897,1,off
2017-01-19 00:11:13.722983,0,off
2017-01-19 00:11:17.552938,0,off
2017-01-19 00:11:21.382901,1,off
2017-01-19 00:11:25.212927,1,off
2017-01-19 00:11:29.042924,0,off
2017-01-19 00:11:32.872944,0,off
2017-01-19 00:11:36.702959,0,off
2017-01-19 00:11:40.532949,0,off
2017-01-19 00:11:44.362933,1,off
2017-01-19 00:11:48.192918,0,off
2017-01-19 00:11:52.023207,1,off
2017-01-19 00:11:55.852894,1,off
2017-01-19 00:11:59.682895,1,off
2017-01-19 00:12:03.512929,0,off
2017-01-19 00:12:07.342869,1,off
2017-01-19 00:12:11.172904,1,off
2017-01-19 00:12:15.002960,0,off
2017-01-19 00:12:18.832976,0,off
2017-01-19 00:12:22.662966,0,off
2017-01-19 00:12:26.492980,0,off
2017-01-19 00:12:30.322980,0,off
2017-01-19 00:12:34.152966,0,off
2017-01-19 00:12:37.982936,0,off
2017-01-19 00:12:41.812947,0,off
2017-01-19 00:12:45.643008,1,off
2017-01-19 00:12:49.472875,1,off
2017-01-19 00:12:53.302928,0,off
2017-01-19 00:12:57.132959,0,off
2017-01-19 00:13:00.962951,0,off
2017-01-19 00:13:04.793019,0,off
2017-01-19 00:13:08.622972,0,off
2017-01-19 00:13:12.452955,0,off
2017-01-19 00:13:16.283018,0,off
2017-01-19 00:13:20.112942,0,off
2017-01-19 00:13:23.943004,0,off
2017-01-19 00:13:27.773106,0,off
2017-01-19 00:13:31.602933,0,off
2017-01-19 00:13:35.432936,0,off
2017-01-19 00:13:39.262927,0,off
2017-01-19 00:13:43.093051,0,off
2017-01-19 00:13:46.923111,0,off
2017-01-19 00:13:50.752939,0,off
